registration_month,powertrain_group,registration_count
2010-12,combustion,6470
2010-12,hybrid,59
2010-12,bev,1
2011-01,combustion,7729
2011-01,hybrid,58
2011-02,combustion,6468
2011-02,hybrid,65
2011-03,combustion,7673
2011-03,hybrid,94
2011-04,combustion,5781
2011-04,hybrid,53
2011-05,combustion,6401
2011-05,hybrid,41
2011-05,bev,1
2011-06,combustion,6830
2011-06,hybrid,63
2011-06,other_or_unknown,1
2011-07,combustion,6391
2011-07,hybrid,80
2011-07,bev,6
2011-08,combustion,7293
2011-08,hybrid,98
2011-08,bev,3
2011-09,combustion,7098
2011-09,hybrid,80
2011-10,combustion,6969
2011-10,hybrid,61
2011-10,bev,1
2011-11,combustion,7375
2011-11,hybrid,102
2011-11,bev,2
2011-12,combustion,7499
2011-12,hybrid,142
2012-01,combustion,9094
2012-01,hybrid,63
2012-02,combustion,7327
2012-02,hybrid,85
2012-02,bev,1
2012-03,combustion,8284
2012-03,hybrid,167
2012-04,combustion,7331
2012-04,hybrid,169
2012-05,combustion,8255
2012-05,hybrid,138
